ID,mean_prob
E01470N3877E01631N3641-BS-M774_E01538N3782_D010_S292D50R090_A005608_S028,3.656003208163638e-08
E01108N3882E01527N3690-BS-M754_E01506N3760_D140_S247D30R090_A003524_S022,7.916408343112657e-07
E01470N3877E01631N3641-BS-M774_E01534N3760_D010_S022D50R090_A005608_S028,3.317026031070023e-08
E01470N3877E01631N3641-BS-M754_E01587N3737_D010_S022D50R090_A003524_S022,3.3432255526202784e-08
E01267N3753E01646N3535-BS-M754_E01527N3715_D010_S247D50R090_A001972_S039,3.30430619753956e-08
E01470N3877E01631N3641-BS-M754_E01587N3737_D010_S202D50R090_A003524_S022,3.199063932555901e-08
E01470N3877E01631N3641-BS-M732_E01559N3737_D010_S112D50R090_A002108_S017,3.68806404492569e-08
E01470N3877E01631N3641-BS-M754_E01587N3737_D010_S337D50R090_A003524_S022,3.27512841295561e-08
E01470N3877E01631N3641-BS-M707_E01534N3760_D010_S292D50R090_A001194_S013,8.410720017034825e-08
E01470N3877E01631N3641-BS-M774_E01534N3760_D010_S157D50R090_A005608_S028,3.463074753245871e-08
E01470N3877E01631N3641-BS-M774_E01538N3782_D010_S202D50R090_A005608_S028,3.5606025317528246e-08
E01470N3877E01631N3641-BS-M732_E01559N3737_D010_S337D50R090_A002108_S017,3.70645627063437e-08
E01267N3753E01646N3535-BS-M774_E01523N3692_D010_S247D50R090_A003139_S050,2.9600777330919368e-08
E01267N3753E01646N3535-BS-M754_E01502N3737_D172_S247D50R090_A001972_S039,4.033486031980259e-08
E01267N3753E01646N3535-BS-M754_E01551N3692_D010_S022D50R090_A001972_S039,2.8891572409820726e-08
E01470N3877E01631N3641-BS-M774_E01603N3670_D010_S247D10R090_A005608_S028,1.452834852864602e-07
E01267N3753E01646N3535-BS-M754_E01502N3737_D091_S157D30R090_A001972_S039,2.7278674236872516e-08
E01470N3877E01631N3641-BS-M774_E01555N3715_D010_S247D50R090_A005608_S028,3.0189229076127923e-08
E01964N3926E02184N3685-BS-M754_E02022N3782_D010_S337D30R090_A003524_S022,9.493398844478143e-08
E01267N3753E01646N3535-BS-M754_E01527N3715_D010_S292D50R090_A001972_S039,3.093067382321858e-08
E01470N3877E01631N3641-BS-M774_E01534N3760_D010_S292D50R270_A005608_S028,2.9418143555790272e-08
E01470N3877E01631N3641-BS-M774_E01538N3782_D010_S202D30R090_A005608_S028,5.2133415874850764e-08
E01267N3753E01646N3535-BS-M754_E01551N3692_D010_S067D50R090_A001972_S039,3.0566764326285644e-08
E01267N3753E01646N3535-BS-M707_E01502N3737_D010_S292D50R090_A000668_S023,6.387337979322475e-08
E01267N3753E01646N3535-BS-M754_E01498N3715_D010_S202D70R090_A001972_S039,3.235178233310866e-08
E01267N3753E01646N3535-BS-M754_E01551N3692_D010_S112D50R090_A001972_S039,3.0646511274584467e-08
E01267N3753E01646N3535-BS-M754_E01502N3737_D091_S202D30R090_A001972_S039,2.6519060716255464e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S202D70R270_A003524_S022,3.6374318626565724e-08
E01470N3877E01631N3641-BS-M809_E01603N3670_D010_S337D70R270_A012497_S042,5.069826698869338e-08
E01267N3753E01646N3535-BS-M732_E01527N3715_D010_S022D30R090_A001180_S030,2.98863040466161e-08
E01267N3753E01646N3535-BS-M732_E01502N3737_D010_S112D50R090_A001180_S030,4.0524471482089425e-08
E01470N3877E01631N3641-BS-M707_E01534N3760_D010_S292D30R090_A001194_S013,5.59585680190381e-08
E01267N3753E01646N3535-BS-M774_E01498N3715_D107_S202D50R270_A003139_S050,5.232801253582894e-08
E01470N3877E01631N3641-BS-M754_E01583N3715_D010_S202D30R090_A003524_S022,2.796232374002764e-08
E01267N3753E01646N3535-BS-M732_E01502N3737_D076_S112D50R090_A001180_S030,4.0524471482089425e-08
E01267N3753E01646N3535-BS-M792_E01498N3715_D010_S067D50R270_A004781_S062,2.5355010389066662e-08
E01267N3753E01646N3535-BS-M792_E01498N3715_D125_S022D50R090_A004781_S062,2.6797758043200277e-08
E01267N3753E01646N3535-BS-M754_E01502N3737_D010_S292D30R090_A001972_S039,2.9003815416587536e-08
E01108N3882E01527N3690-BS-M754_E01477N3760_D010_S247D30R090_A003524_S022,7.877503914969855e-07
E01267N3753E01646N3535-BS-M754_E01502N3737_D091_S247D50R270_A001972_S039,3.8274320548106165e-08
E01267N3753E01646N3535-BS-M754_E01527N3715_D091_S247D50R090_A001972_S039,3.30430619753956e-08
E01267N3753E01646N3535-BS-M732_E01502N3737_D076_S292D50R090_A001180_S030,3.87272666679168e-08
E01267N3753E01646N3535-BS-M732_E01527N3715_D010_S202D30R090_A001180_S030,2.7528780257287264e-08
E01267N3753E01646N3535-BS-M754_E01498N3715_D172_S067D30R090_A001972_S039,5.870215152487289e-08
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S067D30R090_A003139_S050,3.843677882762069e-08
E01267N3753E01646N3535-BS-M754_E01502N3737_D010_S112D30R090_A001972_S039,2.7819077693432063e-08
E01470N3877E01631N3641-BS-M754_E01534N3760_D010_S067D50R270_A003524_S022,3.7647751307841476e-08
